app_name,tf_idf,variable
FileManager,0.387,TF_IDF_39
AndroidAccessibilitySuite,0.386,TF_IDF_39
Music,0.384,TF_IDF_38
GooglePartnerSetup,0.384,TF_IDF_38
com.mediatek,0.383,TF_IDF_38
com.mediatek.ims.ImsApp,0.383,TF_IDF_38
LPPeService,0.383,TF_IDF_38
TikTok,0.382,TF_IDF_38
LocationEM2,0.382,TF_IDF_38
Omacp,0.382,TF_IDF_38
CaptivePortalLogin,0.379,TF_IDF_38
CalendarStorage,0.379,TF_IDF_38
Compass,0.378,TF_IDF_38
GoogleBackupTransport,0.378,TF_IDF_38
GBAService,0.377,TF_IDF_38
StorageManager,0.376,TF_IDF_38
SHAREit,0.376,TF_IDF_38
PackageAccessHelper,0.376,TF_IDF_38
FacebookAppManager,0.375,TF_IDF_38
FacebookAppInstaller,0.375,TF_IDF_38
Duo,0.374,TF_IDF_37
Themes,0.374,TF_IDF_37
aidlserverdemo,0.373,TF_IDF_37
Keychain,0.373,TF_IDF_37
GooglePlayMusic,0.372,TF_IDF_37
FacebookServices,0.371,TF_IDF_37
Email,0.369,TF_IDF_37
SystemMessages,0.368,TF_IDF_37
Shelper,0.367,TF_IDF_37
Lazada,0.365,TF_IDF_36
EngineerCamera,0.365,TF_IDF_36
DiracControlService,0.365,TF_IDF_36
Browser,0.365,TF_IDF_36
Workprofilesetup,0.364,TF_IDF_36
Wallpapers,0.363,TF_IDF_36
Informationservices,0.363,TF_IDF_36
PhoneandMessagingStorage,0.362,TF_IDF_36
AndroidREasterEgg,0.362,TF_IDF_36
WAPIcertificate,0.362,TF_IDF_36
GoogleCalendarSync,0.362,TF_IDF_36
MmsService,0.361,TF_IDF_36
com.google.android.overlay.modules.modulemetadata.forframework,0.361,TF_IDF_36
com.qualcomm.timeservice,0.361,TF_IDF_36
MDMConfig,0.361,TF_IDF_36
SaveBlockedNumbers,0.36,TF_IDF_36
Emergencyinformation,0.359,TF_IDF_36
WifiBackupRestore,0.359,TF_IDF_36
Gesture_MotionServices,0.359,TF_IDF_36
Networkmanager,0.358,TF_IDF_36
com.android.providers.media,0.358,TF_IDF_36
Tethering,0.358,TF_IDF_36
CellBroadcastService,0.358,TF_IDF_36
BlockedNumbersStorage,0.358,TF_IDF_36
Deviceconfiguration,0.358,TF_IDF_36
SystemTracing,0.357,TF_IDF_36
Tags,0.355,TF_IDF_35
LocationServices,0.355,TF_IDF_35
SystemUpgradeServices,0.355,TF_IDF_35
PhoneCall/SMSStorage,0.354,TF_IDF_35
OppoLFEHer,0.354,TF_IDF_35
DebugLoggerUI,0.354,TF_IDF_35
MDMLSample,0.354,TF_IDF_35
LiveWallpaperPicker,0.353,TF_IDF_35
CalibrateTimeZone,0.353,TF_IDF_35
ColorOSSystem,0.353,TF_IDF_35
TelephonyAssist,0.353,TF_IDF_35
Gboard,0.353,TF_IDF_35
com.android.smspush,0.353,TF_IDF_35
Gallery,0.352,TF_IDF_35
com.android.email.partnerprovider,0.352,TF_IDF_35
WirelessSettings,0.351,TF_IDF_35
com.android.vendors.bridge.softsim,0.35,TF_IDF_35
Notes,0.35,TF_IDF_35
Systemupdate,0.35,TF_IDF_35
DefaultPrintService,0.349,TF_IDF_35
com.mediatek.frameworkresoverlay,0.349,TF_IDF_35
E-warrantycard,0.349,TF_IDF_35
com.qualcomm.qcrilmsgtunnel,0.347,TF_IDF_35
com.qualcomm.embms,0.346,TF_IDF_35
RilCap,0.345,TF_IDF_34
GnssDebugReport,0.345,TF_IDF_34
Feedback,0.343,TF_IDF_34
Powermonitor,0.343,TF_IDF_34
com.qualcomm.qti.telephonyservice,0.343,TF_IDF_34
GooglePlayMovies&TV,0.343,TF_IDF_34
OppoDiracService,0.343,TF_IDF_34
WfdService,0.34,TF_IDF_34
